sample_size,scale,original_n,source,name,value,power,scale2,sd_item,new_sample
25,2,20,Low Variance,Decile 70,0.833333333333333,80,Medium Scale,6.20596315956708,25
25,3,20,Low Variance,Decile 70,0.866666666666667,80,Large Scale,86.9954700892336,25
20,1,20,Medium Variance,Decile 70,0.8,80,Small Scale,0.467834320353414,20
25,2,20,Medium Variance,Decile 70,0.833333333333333,80,Medium Scale,12.3121945166107,25
25,3,20,Medium Variance,Decile 70,0.8,80,Large Scale,122.959157745714,25
20,1,20,High Variance,Decile 80,0.8,80,Small Scale,0.934528892365487,20
25,2,20,High Variance,Decile 80,0.833333333333333,80,Medium Scale,12.5330879824727,25
25,3,20,High Variance,Decile 80,0.866666666666667,80,Large Scale,153.043465250233,25
20,1,20,Low Variance,Decile 80,0.8,80,Small Scale,0.289316170594341,20
25,2,20,Low Variance,Decile 80,0.933333333333333,80,Medium Scale,6.20596315956708,25
20,3,20,Low Variance,Decile 80,0.9,80,Large Scale,86.9954700892336,20
20,1,20,Medium Variance,Decile 80,0.833333333333333,80,Small Scale,0.467834320353414,20
25,2,20,Medium Variance,Decile 80,0.9,80,Medium Scale,12.3121945166107,25
20,3,20,Medium Variance,Decile 80,0.833333333333333,80,Large Scale,122.959157745714,20
20,1,20,High Variance,Decile 90,0.9,80,Small Scale,0.934528892365487,20
20,2,20,High Variance,Decile 90,0.9,80,Medium Scale,12.5330879824727,20
20,3,20,High Variance,Decile 90,0.833333333333333,80,Large Scale,153.043465250233,20
20,1,20,Low Variance,Decile 90,0.8,80,Small Scale,0.289316170594341,20
20,2,20,Low Variance,Decile 90,0.8,80,Medium Scale,6.20596315956708,20
20,3,20,Low Variance,Decile 90,0.933333333333333,80,Large Scale,86.9954700892336,20
20,1,20,Medium Variance,Decile 90,0.833333333333333,80,Small Scale,0.467834320353414,20
20,2,20,Medium Variance,Decile 90,0.833333333333333,80,Medium Scale,12.3121945166107,20
20,3,20,Medium Variance,Decile 90,0.866666666666667,80,Large Scale,122.959157745714,20
365,1,25,High Variance,Decile 0,0.8,80,Small Scale,0.85780003255019,356.303694783253
70,1,25,Low Variance,Decile 0,0.9,80,Small Scale,0.295684771306498,68.3322154378842
70,2,25,Low Variance,Decile 0,0.8,80,Medium Scale,5.116907323888,68.3322154378842
60,3,25,Low Variance,Decile 0,0.8,80,Large Scale,59.9135668107522,58.5704703753293
85,1,25,Medium Variance,Decile 0,0.866666666666667,80,Small Scale,0.417404719798489,82.9748330317166
275,2,25,Medium Variance,Decile 0,0.833333333333333,80,Medium Scale,10.5420259369207,268.447989220259
200,3,25,Medium Variance,Decile 0,0.833333333333333,80,Large Scale,106.191504436744,195.234901251098
160,1,25,High Variance,Decile 10,0.8,80,Small Scale,0.85780003255019,156.187921000878
280,2,25,High Variance,Decile 10,0.866666666666667,80,Medium Scale,13.0295118026603,273.328861751537
175,3,25,High Variance,Decile 10,0.833333333333333,80,Large Scale,162.128181044456,170.830538594711
55,1,25,Low Variance,Decile 10,0.9,80,Small Scale,0.295684771306498,53.6895978440519
50,2,25,Low Variance,Decile 10,0.866666666666667,80,Medium Scale,5.116907323888,48.8087253127744
45,3,25,Low Variance,Decile 10,0.9,80,Large Scale,59.9135668107522,43.927852781497
60,1,25,Medium Variance,Decile 10,0.9,80,Small Scale,0.417404719798489,58.5704703753293
150,2,25,Medium Variance,Decile 10,0.8,80,Medium Scale,10.5420259369207,146.426175938323
95,3,25,Medium Variance,Decile 10,0.8,80,Large Scale,106.191504436744,92.7365780942714
80,1,25,High Variance,Decile 20,0.8,80,Small Scale,0.85780003255019,78.0939605004391
175,2,25,High Variance,Decile 20,0.866666666666667,80,Medium Scale,13.0295118026603,170.830538594711
120,3,25,High Variance,Decile 20,0.833333333333333,80,Large Scale,162.128181044456,117.140940750659
40,1,25,Low Variance,Decile 20,0.9,80,Small Scale,0.295684771306498,39.0469802502196
45,2,25,Low Variance,Decile 20,0.833333333333333,80,Medium Scale,5.116907323888,43.927852781497
45,3,25,Low Variance,Decile 20,0.933333333333333,80,Large Scale,59.9135668107522,43.927852781497
50,1,25,Medium Variance,Decile 20,0.9,80,Small Scale,0.417404719798489,48.8087253127744
125,2,25,Medium Variance,Decile 20,0.8,80,Medium Scale,10.5420259369207,122.021813281936
75,3,25,Medium Variance,Decile 20,0.833333333333333,80,Large Scale,106.191504436744,73.2130879691617
80,1,25,High Variance,Decile 30,0.833333333333333,80,Small Scale,0.85780003255019,78.0939605004391
105,2,25,High Variance,Decile 30,0.8,80,Medium Scale,13.0295118026603,102.498323156826
90,3,25,High Variance,Decile 30,0.833333333333333,80,Large Scale,162.128181044456,87.855705562994
40,1,25,Low Variance,Decile 30,0.9,80,Small Scale,0.295684771306498,39.0469802502196
40,2,25,Low Variance,Decile 30,0.866666666666667,80,Medium Scale,5.116907323888,39.0469802502196
45,3,25,Low Variance,Decile 30,0.966666666666667,80,Large Scale,59.9135668107522,43.927852781497
40,1,25,Medium Variance,Decile 30,0.8,80,Small Scale,0.417404719798489,39.0469802502196
85,2,25,Medium Variance,Decile 30,0.833333333333333,80,Medium Scale,10.5420259369207,82.9748330317166
55,3,25,Medium Variance,Decile 30,0.833333333333333,80,Large Scale,106.191504436744,53.6895978440519
