scale,original_n,source,name,power,scale2,sample_size,value,sd_item
1,20,High Variance,Decile 0,80,Small Scale,744.08,0.8148,0.85177765042164
1,20,High Variance,Decile 0,85,Small Scale,853.2,0.883733333333333,0.85177765042164
1,20,High Variance,Decile 0,90,Small Scale,934.72,0.9144,0.85177765042164
1,20,High Variance,Decile 0,95,Small Scale,1070.44,0.968533333333333,0.85177765042164
1,20,High Variance,Decile 10,80,Small Scale,149.422222222222,0.835666666666667,0.864193959848709
1,20,High Variance,Decile 10,85,Small Scale,170.688888888889,0.900037037037037,0.864193959848709
1,20,High Variance,Decile 10,90,Small Scale,185.711111111111,0.926814814814815,0.864193959848709
1,20,High Variance,Decile 10,95,Small Scale,214.422222222222,0.970111111111111,0.864193959848709
1,20,High Variance,Decile 20,80,Small Scale,101.311111111111,0.848962962962963,0.864193959848709
1,20,High Variance,Decile 20,85,Small Scale,115,0.905037037037037,0.864193959848709
1,20,High Variance,Decile 20,90,Small Scale,123.066666666667,0.931592592592593,0.864193959848709
1,20,High Variance,Decile 20,95,Small Scale,142.911111111111,0.971444444444444,0.864193959848709
1,20,High Variance,Decile 30,80,Small Scale,67.8888888888889,0.862185185185185,0.864193959848709
1,20,High Variance,Decile 30,85,Small Scale,77.8666666666667,0.915592592592593,0.864193959848709
1,20,High Variance,Decile 30,90,Small Scale,83,0.937037037037037,0.864193959848709
1,20,High Variance,Decile 30,95,Small Scale,97.4,0.973037037037037,0.864193959848709
1,20,High Variance,Decile 40,80,Small Scale,54.8444444444445,0.872888888888889,0.864193959848709
1,20,High Variance,Decile 40,85,Small Scale,62.0888888888889,0.917777777777778,0.864193959848709
1,20,High Variance,Decile 40,90,Small Scale,67.3555555555556,0.94262962962963,0.864193959848709
1,20,High Variance,Decile 40,95,Small Scale,79.2222222222222,0.976703703703704,0.864193959848709
1,20,High Variance,Decile 50,80,Small Scale,45.7555555555556,0.889296296296296,0.864193959848709
1,20,High Variance,Decile 50,85,Small Scale,52.4222222222222,0.933555555555556,0.864193959848709
1,20,High Variance,Decile 50,90,Small Scale,54.8444444444445,0.945185185185185,0.864193959848709
1,20,High Variance,Decile 50,95,Small Scale,66.0444444444445,0.977444444444444,0.864193959848709
1,20,High Variance,Decile 60,80,Small Scale,39.9777777777778,0.910592592592593,0.864193959848709
1,20,High Variance,Decile 60,85,Small Scale,42.6666666666667,0.931222222222222,0.864193959848709
1,20,High Variance,Decile 60,90,Small Scale,46.3555555555556,0.951333333333333,0.864193959848709
1,20,High Variance,Decile 60,95,Small Scale,54.7555555555556,0.97962962962963,0.864193959848709
1,20,High Variance,Decile 70,80,Small Scale,36.8,0.942,0.864193959848709
1,20,High Variance,Decile 70,85,Small Scale,39.6888888888889,0.965111111111111,0.864193959848709
1,20,High Variance,Decile 70,90,Small Scale,40,0.966962962962963,0.864193959848709
1,20,High Variance,Decile 70,95,Small Scale,44.4444444444444,0.980962962962963,0.864193959848709
1,20,High Variance,Decile 80,80,Small Scale,24.2888888888889,0.871074074074074,0.864193959848709
1,20,High Variance,Decile 80,85,Small Scale,34.3777777777778,0.95637037037037,0.864193959848709
1,20,High Variance,Decile 80,90,Small Scale,38.4,0.980777777777778,0.864193959848709
1,20,High Variance,Decile 80,95,Small Scale,40.1111111111111,0.987851851851852,0.864193959848709
1,20,High Variance,Decile 90,80,Small Scale,20.2222222222222,0.893481481481482,0.864193959848709
1,20,High Variance,Decile 90,85,Small Scale,23.4888888888889,0.921666666666667,0.864193959848709
1,20,High Variance,Decile 90,90,Small Scale,28.3333333333333,0.952148148148148,0.864193959848709
1,20,High Variance,Decile 90,95,Small Scale,38.3777777777778,0.992185185185185,0.864193959848709
1,20,Low Variance,Decile 0,80,Small Scale,70.0888888888889,0.890592592592593,0.355868813309377
1,20,Low Variance,Decile 0,85,Small Scale,76.9555555555556,0.937925925925926,0.355868813309377
1,20,Low Variance,Decile 0,90,Small Scale,79.8,0.953666666666667,0.355868813309377
1,20,Low Variance,Decile 0,95,Small Scale,89.0444444444444,0.983814814814815,0.355868813309377
1,20,Low Variance,Decile 10,80,Small Scale,52.6222222222222,0.912222222222222,0.355868813309377
1,20,Low Variance,Decile 10,85,Small Scale,57.5555555555556,0.953333333333333,0.355868813309377
1,20,Low Variance,Decile 10,90,Small Scale,59.7333333333333,0.966592592592593,0.355868813309377
1,20,Low Variance,Decile 10,95,Small Scale,65.3111111111111,0.987518518518518,0.355868813309377
1,20,Low Variance,Decile 20,80,Small Scale,44.1111111111111,0.893296296296296,0.355868813309377
1,20,Low Variance,Decile 20,85,Small Scale,49.8444444444445,0.940666666666667,0.355868813309377
1,20,Low Variance,Decile 20,90,Small Scale,53.2888888888889,0.961925925925926,0.355868813309377
1,20,Low Variance,Decile 20,95,Small Scale,60.3111111111111,0.989259259259259,0.355868813309377
1,20,Low Variance,Decile 30,80,Small Scale,40.0888888888889,0.926481481481481,0.355868813309377
1,20,Low Variance,Decile 30,85,Small Scale,41.4,0.93762962962963,0.355868813309377
1,20,Low Variance,Decile 30,90,Small Scale,44.0666666666667,0.954814814814815,0.355868813309377
1,20,Low Variance,Decile 30,95,Small Scale,53.0222222222222,0.988555555555556,0.355868813309377
1,20,Low Variance,Decile 40,80,Small Scale,40,0.954814814814815,0.355868813309377
1,20,Low Variance,Decile 40,85,Small Scale,40.2444444444444,0.957037037037037,0.355868813309377
1,20,Low Variance,Decile 40,90,Small Scale,41.2444444444445,0.96362962962963,0.355868813309377
1,20,Low Variance,Decile 40,95,Small Scale,47.4222222222222,0.986962962962963,0.355868813309377
1,20,Low Variance,Decile 50,80,Small Scale,39.9555555555556,0.973666666666667,0.355868813309377
1,20,Low Variance,Decile 50,85,Small Scale,40,0.974074074074074,0.355868813309377
1,20,Low Variance,Decile 50,90,Small Scale,40.2,0.975407407407407,0.355868813309377
1,20,Low Variance,Decile 50,95,Small Scale,43.4222222222222,0.987518518518519,0.355868813309377
1,20,Low Variance,Decile 60,80,Small Scale,39.4,0.981518518518519,0.355868813309377
1,20,Low Variance,Decile 60,85,Small Scale,39.9555555555556,0.98662962962963,0.355868813309377
1,20,Low Variance,Decile 60,90,Small Scale,39.9777777777778,0.986777777777778,0.355868813309377
1,20,Low Variance,Decile 60,95,Small Scale,40.8666666666667,0.989888888888889,0.355868813309377
1,20,Low Variance,Decile 70,80,Small Scale,35.3111111111111,0.952740740740741,0.355868813309377
1,20,Low Variance,Decile 70,85,Small Scale,39.5111111111111,0.991518518518518,0.355868813309377
1,20,Low Variance,Decile 70,90,Small Scale,39.9333333333333,0.994,0.355868813309377
1,20,Low Variance,Decile 70,95,Small Scale,40.0222222222222,0.994407407407407,0.355868813309377
1,20,Low Variance,Decile 80,80,Small Scale,28.0888888888889,0.903111111111111,0.355868813309377
1,20,Low Variance,Decile 80,85,Small Scale,35.8222222222222,0.973333333333333,0.355868813309377
1,20,Low Variance,Decile 80,90,Small Scale,38.3111111111111,0.989740740740741,0.355868813309377
1,20,Low Variance,Decile 80,95,Small Scale,39.9333333333333,0.997111111111111,0.355868813309377
1,20,Low Variance,Decile 90,80,Small Scale,22.2666666666667,0.886592592592593,0.355868813309377
1,20,Low Variance,Decile 90,85,Small Scale,28,0.93737037037037,0.355868813309377
1,20,Low Variance,Decile 90,90,Small Scale,32.9333333333333,0.970037037037037,0.355868813309377
1,20,Low Variance,Decile 90,95,Small Scale,39.2444444444445,0.997592592592593,0.355868813309377
1,20,Medium Variance,Decile 0,80,Small Scale,118.955555555556,0.847777777777778,0.522807093747885
1,20,Medium Variance,Decile 0,85,Small Scale,133.666666666667,0.898555555555556,0.522807093747885
1,20,Medium Variance,Decile 0,90,Small Scale,142.333333333333,0.925703703703704,0.522807093747885
1,20,Medium Variance,Decile 0,95,Small Scale,166.444444444444,0.978,0.522807093747885
1,20,Medium Variance,Decile 10,80,Small Scale,71.7333333333333,0.864666666666667,0.522807093747885
1,20,Medium Variance,Decile 10,85,Small Scale,81.0888888888889,0.917407407407407,0.522807093747885
1,20,Medium Variance,Decile 10,90,Small Scale,87.0222222222222,0.94262962962963,0.522807093747885
1,20,Medium Variance,Decile 10,95,Small Scale,100.688888888889,0.980740740740741,0.522807093747885
1,20,Medium Variance,Decile 20,80,Small Scale,57.7555555555556,0.890888888888889,0.522807093747885
1,20,Medium Variance,Decile 20,85,Small Scale,63.4222222222222,0.928814814814815,0.522807093747885
1,20,Medium Variance,Decile 20,90,Small Scale,66.2222222222222,0.943444444444444,0.522807093747885
1,20,Medium Variance,Decile 20,95,Small Scale,77.9777777777778,0.982518518518519,0.522807093747885
1,20,Medium Variance,Decile 30,80,Small Scale,45.6444444444445,0.879666666666667,0.522807093747885
1,20,Medium Variance,Decile 30,85,Small Scale,53.5111111111111,0.936481481481481,0.522807093747885
1,20,Medium Variance,Decile 30,90,Small Scale,56.8888888888889,0.955481481481482,0.522807093747885
1,20,Medium Variance,Decile 30,95,Small Scale,65.4444444444444,0.985555555555556,0.522807093747885
1,20,Medium Variance,Decile 40,80,Small Scale,41.4444444444445,0.884111111111111,0.522807093747885
1,20,Medium Variance,Decile 40,85,Small Scale,46.9555555555556,0.926,0.522807093747885
1,20,Medium Variance,Decile 40,90,Small Scale,51.8222222222222,0.954259259259259,0.522807093747885
1,20,Medium Variance,Decile 40,95,Small Scale,60.6,0.98737037037037,0.522807093747885
1,20,Medium Variance,Decile 50,80,Small Scale,40.2222222222222,0.917777777777778,0.522807093747885
1,20,Medium Variance,Decile 50,85,Small Scale,42.2222222222222,0.933925925925926,0.522807093747885
1,20,Medium Variance,Decile 50,90,Small Scale,44.7777777777778,0.949333333333333,0.522807093747885
1,20,Medium Variance,Decile 50,95,Small Scale,55.0444444444445,0.988259259259259,0.522807093747885
1,20,Medium Variance,Decile 60,80,Small Scale,39.6888888888889,0.945333333333333,0.522807093747885
1,20,Medium Variance,Decile 60,85,Small Scale,40.5555555555556,0.95262962962963,0.522807093747885
1,20,Medium Variance,Decile 60,90,Small Scale,41.9333333333333,0.961407407407407,0.522807093747885
1,20,Medium Variance,Decile 60,95,Small Scale,48.9111111111111,0.987740740740741,0.522807093747885
1,20,Medium Variance,Decile 70,80,Small Scale,36.3333333333333,0.945037037037037,0.522807093747885
1,20,Medium Variance,Decile 70,85,Small Scale,39.4222222222222,0.971703703703704,0.522807093747885
1,20,Medium Variance,Decile 70,90,Small Scale,40.0222222222222,0.975444444444445,0.522807093747885
1,20,Medium Variance,Decile 70,95,Small Scale,43.6888888888889,0.988962962962963,0.522807093747885
1,20,Medium Variance,Decile 80,80,Small Scale,25.4666666666667,0.880851851851852,0.522807093747885
1,20,Medium Variance,Decile 80,85,Small Scale,35.1555555555556,0.967444444444445,0.522807093747885
1,20,Medium Variance,Decile 80,90,Small Scale,38.0888888888889,0.986148148148148,0.522807093747885
1,20,Medium Variance,Decile 80,95,Small Scale,40.1777777777778,0.995074074074074,0.522807093747885
1,20,Medium Variance,Decile 90,80,Small Scale,20.6666666666667,0.893185185185185,0.522807093747885
1,20,Medium Variance,Decile 90,85,Small Scale,24.9555555555556,0.930481481481482,0.522807093747885
