"RT" "zRT" "Pp" "Type" "Prime" "Target" "accTarget" "accPrime"
0.400334328 -0.793496187646981 2 "U" "radijs" "papier" 1 1
0.480016708 -0.499655215517132 2 "U" "ekster" "tafel" 1 1
0.519944489 -0.35241541188642 2 "U" "hagel" "alleen" 1 1
0.560338616 -0.203455886003577 2 "U" "cape" "bitter" 1 1
0.466858029 -0.548179858346633 2 "U" "oven" "insect" 1 1
0.453563184 -0.597206634142181 2 "U" "arbeid" "zacht" 1 1
0.573289871 -0.534454774912216 3 "R" "hengst" "veulen" 1 1
0.613653004 -0.387724767196425 3 "R" "matrak" "wapen" 1 1
0.61366868 -0.387667781045202 3 "R" "eland" "gewei" 1 1
0.65326649 -0.243719912409028 3 "R" "erwt" "wortel" 1 1
0.640188634 -0.291261165259395 3 "R" "ijzel" "glad" 1 1
2.039921999 4.79711706956445 3 "R" "sauna" "warm" 1 1
0.746602893 0.0955810812069579 3 "R" "wrat" "lelijk" 1 0
0.50691694 -0.775736854718798 3 "R" "orgel" "kerk" 1 1
0.54697901 -0.63010128574028 3 "R" "cadeau" "pakje" 1 1
0.706862867 -0.0488837778912133 3 "R" "sober" "karig" 1 1
1.28019166 2.0353087009378 3 "R" "ezel" "balken" 1 1
0.640205503 -0.291199842257037 3 "R" "satijn" "zijde" 1 1
0.75993365 0.144041691969441 3 "R" "eclair" "gebak" 1 1
0.573260128 -0.534562898100262 3 "R" "poema" "tijger" 1 1
0.573653162 -0.533134121948208 3 "R" "paniek" "brand" 1 1
0.573267579 -0.534535811865715 3 "R" "klank" "geluid" 1 1
0.586615562 -0.486012580317256 3 "R" "zakmes" "scherp" 1 1
0.573509932 -0.533654798551908 3 "R" "intens" "hevig" 1 1
0.58659035 -0.486104232195581 3 "U" "cement" "pels" 1 1
0.773525178 0.193450270047594 3 "U" "sabel" "leuze" 1 1
0.573292375 -0.534445672250653 3 "U" "soepel" "zwart" 1 1
0.906615317 0.677265962014957 3 "U" "vracht" "degen" 1 1
0.599934578 -0.437594651004218 3 "U" "matras" "vogel" 1 1
0.560975134 -0.579221900770061 3 "U" "servet" "winter" 1 1
1.46696949 2.71429247647967 3 "U" "kever" "fysica" 1 1
1.253642321 1.93879526338281 3 "U" "mixer" "snavel" 1 1
0.746587694 0.09552582906914 3 "U" "vijgen" "lenig" 1 1
0.666606903 -0.195224199689655 3 "U" "ajuin" "werk" 1 1
0.586624265 -0.485980942751928 3 "U" "fazant" "lading" 1 1
0.600210786 -0.436590566361652 3 "U" "gezag" "proper" 1 1
0.53351897 -0.679031872299427 3 "U" "gamba" "mantel" 1 1
0.653321326 -0.243520569937196 3 "U" "nerts" "pizza" 1 1
0.733264863 0.0470940312841124 3 "U" "ridder" "mortel" 1 1
0.573248327 -0.534605797664601 3 "U" "patrijs" "hard" 1 1
0.573295534 -0.534434188501501 3 "U" "netjes" "macht" 1 1
1.10687232 1.40524987732032 3 "U" "karton" "jacht" 1 1
0.866992295 0.533226441500458 3 "R" "heks" "bezem" 1 1
0.586842895 -0.485186168431834 3 "R" "zomer" "strand" 1 1
0.653243959 -0.243801818186854 3 "R" "okapi" "zebra" 1 1
0.586598039 -0.486076280771956 3 "R" "libel" "vijver" 1 1
0.52021265 -0.727403648500962 3 "R" "sofa" "zetel" 1 1
0.559907436 -0.583103248032627 3 "R" "lepra" "ziekte" 1 1
0.440209329 -1.01823557940233 3 "R" "tenger" "smal" 1 0
0.533565581 -0.678862429744271 3 "R" "alarm" "gevaar" 1 1
0.507099211 -0.775074254389027 3 "R" "nummer" "getal" 1 1
0.626987994 -0.339248768428192 3 "R" "taxi" "stad" 1 1
0.759865522 0.143794029778162 3 "R" "balkon" "terras" 1 1
0.626863837 -0.339700109942439 3 "R" "vallei" "bergen" 1 1
0.693253517 -0.0983571433632865 3 "R" "absurd" "bizar" 1 1
0.627019882 -0.339132847632697 3 "R" "venkel" "anijs" 1 0
