suj,congr,item,side,aff-ness,RT,liking
3,valid,K,L,non-aff,82570.8,8
3,invalid,G,R,aff,89634.7,2
3,invalid,G,L,aff,136842.4,2
3,invalid,G,L,aff,147010.3,6
3,invalid,G,L,aff,197169.9,2
3,invalid,K,R,aff,106986.6,9
3,invalid,K,R,aff,268529.4,8
3,invalid,K,L,aff,66362.9,7
3,invalid,K,L,aff,307625.1,8
3,invalid,G,R,non-aff,165594.1,6
3,invalid,G,R,non-aff,250433.5,7
3,invalid,G,R,non-aff,282161.3,2
3,invalid,K,R,non-aff,48395,8
3,invalid,K,L,non-aff,10339.3,6
3,invalid,K,L,non-aff,130130.4,6
3,valid,S,L,aff,137866.3,8
3,valid,S,L,aff,173994.1,1
3,valid,S,L,aff,234921.6,1
3,valid,S,L,aff,282857.3,1
3,valid,L,R,aff,243601.6,7
3,valid,L,R,aff,251417.5,7
3,valid,L,L,aff,82786.8,9
3,valid,L,L,aff,228105.7,6
3,valid,S,R,non-aff,24395.2,2
3,valid,S,R,non-aff,119698.5,2
3,valid,S,R,non-aff,167770.1,2
3,valid,S,L,non-aff,195689.9,2
3,valid,L,R,non-aff,103834.6,4
3,valid,L,R,non-aff,203633.9,7
3,valid,L,R,non-aff,258017.5,2
3,valid,L,L,non-aff,182466,6
3,valid,L,L,non-aff,219633.8,8
3,invalid,S,R,aff,40235.1,4
3,invalid,S,R,aff,96730.7,2
3,invalid,S,L,aff,189098,1
3,invalid,L,R,aff,10091.3,9
3,invalid,L,R,aff,66370.9,6
3,invalid,L,R,aff,112882.5,7
3,invalid,L,R,aff,127474.4,7
3,invalid,S,R,non-aff,145890.3,2
3,invalid,S,R,non-aff,212201.8,2
3,invalid,S,R,non-aff,275737.3,3
3,invalid,S,L,non-aff,154034.2,2
3,invalid,S,L,non-aff,161010.2,1
3,invalid,L,L,non-aff,17379.3,2
3,invalid,L,L,non-aff,31947.1,4
3,invalid,L,L,non-aff,51203,7
3,invalid,L,L,non-aff,73906.8,3
3,invalid,L,L,non-aff,90074.7,4
4,valid,G,R,aff,65267.9,8
4,valid,G,R,aff,118675.6,2
4,valid,G,L,aff,132387.4,2
4,valid,G,L,aff,245930.6,2
4,valid,K,R,aff,33500.2,2
4,valid,K,R,aff,49852.1,5
4,valid,K,R,aff,252394.5,2
4,valid,K,L,aff,146387.3,2
4,valid,G,R,non-aff,206146.9,8
4,valid,G,R,non-aff,278994.3,2
4,valid,G,L,non-aff,57180,2
4,valid,G,L,non-aff,213858.8,2
4,valid,G,L,non-aff,258906.5,2
4,valid,K,R,non-aff,73579.9,7
4,valid,K,R,non-aff,111811.6,8
4,valid,K,L,non-aff,170459.2,7
4,valid,K,L,non-aff,221474.8,7
4,valid,K,L,non-aff,237642.7,2
4,invalid,G,R,aff,11476.3,8
4,invalid,G,R,aff,18764.3,2
4,invalid,G,L,aff,88339.8,2
4,invalid,G,L,aff,139515.4,2
4,invalid,K,R,aff,81475.8,8
4,invalid,K,R,aff,103955.6,2
4,invalid,K,L,aff,197099,2
4,invalid,K,L,aff,271914.4,2
4,invalid,G,R,non-aff,25988.2,2
4,invalid,G,R,non-aff,96707.7,8
4,invalid,G,R,non-aff,178299.1,7
4,invalid,G,L,non-aff,154579.3,7
4,invalid,G,L,non-aff,265298.4,2
4,invalid,K,R,non-aff,162883.2,2
4,invalid,K,R,non-aff,185731,7
4,invalid,K,L,non-aff,40868.1,2
4,invalid,K,L,non-aff,125507.5,2
4,invalid,K,L,non-aff,230698.7,2
4,valid,S,R,aff,126691.5,7
4,valid,S,R,aff,186755,7
4,valid,S,L,aff,58220,4
4,valid,S,L,aff,230186.7,2
4,valid,L,R,aff,75715.9,3
4,valid,L,R,aff,101923.7,3
4,valid,L,L,aff,39604.1,8
4,valid,L,L,aff,48460.1,3
4,valid,S,R,non-aff,109787.6,3
4,valid,S,R,non-aff,170379.1,3
4,valid,S,L,non-aff,153659.3,6
4,valid,S,L,non-aff,253234.5,2
4,valid,S,L,non-aff,281690.3,2
4,valid,L,R,non-aff,94187.7,7
4,valid,L,R,non-aff,178483.1,3
4,valid,L,R,non-aff,201402.9,2
4,valid,L,L,non-aff,30172.2,6
4,valid,L,L,non-aff,162723.2,7
4,invalid,S,R,aff,144875.3,4
4,invalid,S,R,aff,288506.3,2
4,invalid,S,L,aff,84779.8,7
4,invalid,S,L,aff,117523.5,3
4,invalid,L,R,aff,268114.4,8
4,invalid,L,L,aff,194019,2
4,invalid,L,L,aff,208674.8,2
4,invalid,L,L,aff,260378.5,2
4,invalid,S,R,non-aff,11740.3,6
4,invalid,S,R,non-aff,136755.4,3
4,invalid,S,R,non-aff,238778.6,7
4,invalid,S,L,non-aff,223058.8,2
4,invalid,S,L,non-aff,246578.6,7
4,invalid,L,R,non-aff,20780.3,4
4,invalid,L,R,non-aff,274706.4,2
4,invalid,L,R,non-aff,295362.2,2
4,invalid,L,L,non-aff,66403.9,4
4,invalid,L,L,non-aff,215818.8,3
5,valid,G,R,aff,92120,4
5,valid,G,R,aff,118183.6,6
5,valid,G,L,aff,160150.9,5
5,valid,K,R,aff,109879.7,4
5,valid,K,R,aff,126495.4,4
5,valid,K,R,aff,229413.9,6
5,valid,K,L,aff,317020.6,6
5,valid,G,R,non-aff,208406.2,4
5,valid,G,R,non-aff,283893.1,4
5,valid,G,L,non-aff,100647.8,3
5,valid,G,L,non-aff,189502.5,6
5,valid,K,R,non-aff,133431.3,5
5,valid,K,R,non-aff,171190.8,4
5,valid,K,L,non-aff,83344.1,7
5,valid,K,L,non-aff,198326.4,8
5,valid,K,L,non-aff,276317.2,6
5,invalid,G,R,aff,42168.7,5
5,invalid,G,R,aff,75320.2,3
5,invalid,G,L,aff,248861.6,7
5,invalid,G,L,aff,267277.3,5
5,invalid,K,R,aff,49784.6,5
5,invalid,K,R,aff,217326.1,4
5,invalid,K,L,aff,66872.3,4
5,invalid,K,L,aff,180686.6,4
5,invalid,G,R,non-aff,16753.1,4
5,invalid,G,R,non-aff,142927.2,3
