percent_below,sample_size,corrected_sample_size,size
86.3766666666667,45,41.0549028997842,0.1
86.3766666666667,45,41.0549028997842,0.1
93.8,50,47.2893914153832,0.1
98.2966666666667,55,53.3399468373129,0.1
89.6466666666667,45,40.8713225036247,0.2
89.6466666666667,45,40.8713225036247,0.2
96.16,50,47.2905280597414,0.2
96.16,50,47.2905280597414,0.2
86.6033333333333,45,40.8059168797063,0.3
86.6033333333333,45,40.8059168797063,0.3
95.68,50,47.1954753016344,0.3
95.68,50,47.1954753016344,0.3
87.7333333333333,45,40.9491112601756,0.4
87.7333333333333,45,40.9491112601756,0.4
95.26,50,47.3093105042643,0.4
95.26,50,47.3093105042643,0.4
83.3133333333333,40,34.5434517472245,0.5
92.8466666666667,45,41.0960419451324,0.5
92.8466666666667,45,41.0960419451324,0.5
97.8033333333333,50,47.5516701096877,0.5
88.3666666666667,45,40.6968119836035,0.6
88.3666666666667,45,40.6968119836035,0.6
95.8433333333333,50,47.1064448387836,0.6
95.8433333333333,50,47.1064448387836,0.6
89.5966666666667,40,34.5563483037266,0.7
89.5966666666667,40,34.5563483037266,0.7
98.8266666666667,45,41.7610818256685,0.7
98.8266666666667,45,41.7610818256685,0.7
84.0466666666667,40,34.3003000725683,0.8
94.43,45,41.0002868767577,0.8
94.43,45,41.0002868767577,0.8
99.4333333333333,50,47.5430197117625,0.8
90.9366666666667,40,34.8694248359582,0.9
90.9366666666667,40,34.8694248359582,0.9
90.9366666666667,40,34.8694248359582,0.9
97.8466666666667,45,41.9178561899984,0.9
81.1333333333334,40,35.0671856094495,0
92.1,45,41.4193825314783,0
92.1,45,41.4193825314783,0
98.0266666666667,50,47.9421018889478,0
96.37,40,35.3615669931783,1
96.37,40,35.3615669931783,1
96.37,40,35.3615669931783,1
96.37,40,35.3615669931783,1
