,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,std,nonmissing,,"reliability=0,9501"
ansjovis,anchovy,17,15,20,10,15,20,20,16,16,20,18,19,20,18,8,2,12,20,5,12,6,15,19,5,10,2,12,20,14,5.925462945,28,,
dolfijn,dolphin,16,1,10,15,10,20,14,4,1,15,10,1,20,16,8,4,1,12,12,1,12,9,1,10,6,17,3,1,8.928571429,6.312413235,28,,
forel,trout,18,18,20,5,20,20,20,20,16,20,17,17,20,17,20,18,12,16,15,20,20,20,20,20,17,4,15,20,17.32142857,4.190408549,28,,
goudvis,goldfish,20,19,20,5,20,20,20,20,18,20,20,20,20,19,20,14,18,20,10,20,20,19,18,20,18,19,20,20,18.46428571,3.415456619,28,,
haai,shark,16,6,12,15,10,20,15,20,3,15,15,1,20,17,5,4,18,18,5,15,6,10,1,10,6,18,8,20,11.75,6.293000227,28,,
haring,herring,17,14,20,7,20,20,20,20,16,17,19,20,20,18,20,18,13,8,18,20,19,15,20,15,14,10,20,20,17.07142857,3.809623015,28,,
inktvis,squid,10,2,12,12,3,20,18,9,13,10,10,10,20,15,4,2,1,20,2,13,6,8,18,15,1,14,10,1,9.964285714,6.268570295,28,,
kabeljauw,cod,19,13,20,6,20,20,20,20,16,20,18,19,20,18,20,18,16,16,15,20,19,20,20,20,18,6,19,20,17.71428571,3.789431139,28,,
karper,carp,17,15,20,5,20,20,20,7,13,17,13,20,20,15,18,15,14,19,17,17,17,18,20,20,17,8,18,20,16.42857143,4.113469937,28,,
orka,orca,14,8,10,15,10,20,17,3,1,15,10,1,20,14,5,4,1,12,6,9,10,9,1,10,2,10,6,1,8.714285714,5.791802271,28,,
paling,eel,18,17,20,17,18,20,20,19,13,20,12,15,20,18,20,16,14,6,14,20,18,16,20,15,6,10,20,20,16.5,4.087016479,28,,
piranha,piranha,18,6,20,17,20,20,20,5,13,15,8,18,17,19,12,14,14,16,2,14,13,18,10,15,8,18,8,20,14.21428571,5.130570273,28,,
pladijs,plaice,18,9,20,17,20,20,20,20,12,20,-1,18,-1,18,20,16,10,12,4,20,19,18,18,20,10,8,14,20,16.19230769,4.707604323,26,,
platvis,flatfish,16,6,20,15,15,20,20,19,12,20,12,15,20,17,18,14,6,20,3,20,13,17,20,20,8,10,11,20,15.25,5.09629495,28,,
potvis,sperm whale,15,10,12,15,10,20,20,5,1,15,15,3,20,19,20,4,1,20,8,20,12,7,20,5,4,10,8,1,11.42857143,6.839041364,28,,
rog,ray,15,11,18,15,20,20,20,20,12,20,12,18,20,17,20,14,16,8,9,20,20,19,20,15,8,12,9,20,16,4.303314829,28,,
sardine,sardine,15,8,12,8,5,20,20,18,16,20,5,10,20,19,12,10,12,16,5,20,4,18,19,5,8,4,20,20,13.17857143,6.086132211,28,,
snoek,pike,16,14,15,5,20,20,20,19,13,20,13,20,20,16,20,18,15,16,13,16,18,12,20,20,17,12,15,20,16.53571429,3.636055482,28,,
stekelbaars,stickleback,18,16,15,5,15,20,20,20,15,20,10,15,20,18,20,18,13,14,11,20,20,10,20,15,8,6,17,20,15.67857143,4.595114728,28,,
tong,sole,18,11,20,6,20,20,20,20,16,20,15,13,-1,18,16,15,1,10,10,11,18,20,20,20,15,3,17,20,15.2962963,5.503948337,27,,
walvis,whale,14,9,10,15,10,20,16,4,1,15,12,1,20,17,8,4,1,12,6,1,7,8,1,10,4,15,10,1,9,6.036923425,28,,
zalm,salmon,17,7,19,8,20,20,20,20,16,20,19,10,20,19,15,10,19,18,16,20,17,20,20,20,20,17,16,20,17.25,3.893251521,28,,
zwaardvis,swordfish,18,8,20,12,15,20,20,20,13,15,12,16,20,17,16,1,13,20,12,20,10,19,20,15,5,14,12,20,15.10714286,4.98396901,28,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
