,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,std,nonmissing,,"reliability=0,9276"
aardappel,potato,16,10,14,16,5,6,20,16,13,4,3,2,12,10,20,20,4,5,18,1,12,10,15,1,1,1,10,16,10.03571429,6.500610472,28,,
ajuin,onions,2,13,8,7,10,16,20,14,13,10,11,8,3,-1,18,3,5,7,14,3,7,15,15,20,18,2,20,19,11.14814815,6.030076564,27,,
asperges,asparagus,13,12,4,8,20,15,20,20,4,14,10,8,14,20,16,12,9,16,12,12,19,15,18,20,20,15,20,18,14.42857143,4.887084804,28,,
aubergine,eggplant,6,14,6,2,15,13,20,18,13,-1,13,11,19,20,14,6,9,6,8,4,10,15,8,20,20,18,20,19,12.85185185,5.729167638,27,,
augurken,gherkins,15,9,10,5,5,14,20,14,6,8,11,5,10,20,16,10,6,8,14,5,14,10,5,10,17,4,18,15,10.85714286,4.889249626,28,,
biet,beet,11,10,7,4,10,20,20,14,5,7,13,10,19,10,14,6,8,15,10,1,4,14,1,10,1,10,20,16,10.35714286,5.690891265,28,,
bloemkool,cauliflower,17,15,13,6,20,20,20,20,12,15,10,15,19,20,20,15,9,18,16,17,20,20,15,20,20,16,20,18,16.64285714,3.841433815,28,,
bonen,beans,13,15,12,15,20,20,20,18,13,8,13,14,15,20,20,15,9,16,13,1,19,10,18,20,20,20,10,19,15.21428571,4.740348033,28,,
champignons,mushrooms,18,9,14,14,5,20,17,6,7,10,2,12,14,20,18,6,8,6,13,1,14,7,8,6,20,1,20,17,11.17857143,6.104361352,28,,
courgette,zucchini,12,14,4,9,15,20,20,18,5,10,13,10,20,20,14,6,9,15,10,8,14,12,15,20,20,17,20,19,13.89285714,5.065053001,28,,
erwten,peas,16,15,8,5,20,20,20,16,9,13,13,12,20,20,20,7,5,16,16,17,20,10,16,20,18,20,20,19,15.39285714,4.98396901,28,,
kervel,chervil,9,12,4,3,15,20,20,18,6,10,8,8,20,5,15,2,6,4,8,-1,15,12,15,10,-1,2,20,18,10.96153846,6.102332467,26,,
komkommer,cucumber,18,15,10,13,20,16,20,18,16,18,17,14,20,20,18,20,8,5,18,6,19,10,16,20,20,20,20,19,16.21428571,4.524477812,28,,
look,garlic,6,10,4,3,5,15,17,12,7,2,10,1,8,-1,16,3,9,5,9,1,7,5,8,1,18,1,15,12,7.777777778,5.24282171,27,,
maïs,corn,3,13,14,5,15,17,14,18,5,6,11,6,14,20,16,6,9,8,12,3,7,15,10,16,5,13,15,17,11.17857143,5.004098849,28,,
paprika,pepper,16,13,8,13,5,18,20,18,4,10,15,12,19,20,18,13,5,3,18,1,16,17,8,20,20,16,20,19,13.75,5.96672874,28,,
peterselie,parsley,15,11,7,3,10,17,20,18,11,12,7,8,17,5,14,3,8,14,17,2,10,8,14,10,1,1,18,18,10.67857143,5.722299275,28,,
prei,leek,10,14,5,17,20,20,20,20,12,14,15,15,20,20,20,20,6,19,9,1,20,20,10,20,20,17,20,19,15.82142857,5.51129192,28,,
radijs,radish,11,13,5,13,5,12,20,16,16,12,15,4,19,5,12,3,9,6,13,2,17,10,15,20,18,16,20,19,12.35714286,5.638585886,28,,
rode kool,red cabbage,14,13,12,6,20,18,20,20,7,12,15,8,20,20,14,18,5,14,16,3,20,13,16,20,18,16,20,19,14.89285714,5.137655365,28,,
schorseneren,black salsify,-1,14,10,8,10,20,1,-1,5,6,-1,8,10,20,14,12,10,18,18,-1,19,14,10,20,-1,12,20,19,12.95652174,5.538938698,23,,
selder,celery,7,14,4,9,20,20,20,20,15,10,8,18,20,20,18,15,4,8,14,2,16,18,18,20,20,15,20,19,14.71428571,5.810954807,28,,
sla,lettuce,20,18,11,18,20,20,20,18,18,18,13,16,19,20,20,20,4,19,20,1,20,20,16,20,20,20,20,17,17.35714286,4.770389267,28,,
spinazie,spinach,15,15,7,18,20,20,20,20,13,14,15,16,20,20,16,10,6,14,14,17,16,18,18,20,18,16,20,19,16.25,3.816387666,28,,
spruiten,Brussels sprouts,9,15,4,8,20,11,20,20,17,15,14,14,20,20,17,10,7,18,16,16,20,14,18,20,20,18,20,19,15.71428571,4.625670265,28,,
tomaat,tomato,19,18,18,18,20,14,20,18,15,18,17,17,20,20,20,20,4,16,19,4,10,20,10,20,20,20,20,19,16.92857143,4.577954997,28,,
waterkers,water cress,11,11,4,8,20,12,20,15,11,10,4,6,15,5,12,10,12,4,9,1,10,7,6,20,5,17,17,17,10.67857143,5.388970708,28,,
witloof,endive,11,13,6,10,20,20,20,20,14,11,15,16,20,20,18,20,6,12,16,4,15,19,18,20,20,17,20,19,15.71428571,4.890331677,28,,
witte kool,white cabbage,17,13,12,6,15,20,20,20,17,9,15,16,20,20,14,15,8,14,9,2,17,18,11,20,18,16,20,19,15.03571429,4.811114777,28,,
wortel,carrot,17,18,10,15,20,20,20,20,19,18,16,18,20,20,20,20,5,14,19,7,17,19,17,20,20,20,20,19,17.42857143,3.985423175,28,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
