,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,std,nonmissing,,"reliability=0,8723"
kikker,frog,18,20,19,12,20,15,18,17,19,20,16,20,20,20,18,19,20,20,19,20,16,10,20,20,20,20,20,20,18.42857143,2.559348462,28,,
krokodil,crocodile,17,5,9,12,10,17,11,20,10,1,10,19,2,15,10,5,20,5,13,18,5,14,20,10,15,19,17,20,12.46428571,5.865670009,28,,
pad,toad,12,20,17,12,15,15,18,17,18,20,13,20,20,20,18,12,4,18,16,20,16,10,18,20,17,20,20,20,16.64285714,3.898853447,28,,
salamander,salamander,16,20,18,14,16,15,19,19,20,10,17,19,20,20,19,17,10,15,17,20,16,12,20,10,5,20,20,20,16.57142857,3.985423175,28,,
schildpad,tortoise,15,1,14,13,16,15,15,14,15,1,10,10,2,20,11,15,50,10,14,19,14,8,17,10,18,19,17,14,14.17857143,8.641217213,28,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
