,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,std,nonmissing,,"reliability=0,9690"
bazooka,bazooka,20,10,20,-1,20,18,20,20,20,16,20,20,-1,13,20,13,20,20,20,20,17,19,16,20,20,20,-1,20,18.48,2.785677655,25,,
bijl,axe,19,11,20,12,13,8,9,12,11,10,19,15,4,7,17,17,20,18,12,14,10,15,14,20,11,6,19,16,13.53571429,4.566237959,28,,
boksbeugel,knuckle dusters,17,9,20,7,18,13,13,5,10,12,11,13,17,3,20,17,2,-1,17,12,4,5,-1,17,20,20,20,20,13.15384615,5.98459561,26,,
boog,bow,16,9,20,8,18,15,7,12,18,16,16,15,5,4,18,5,15,6,14,15,11,10,3,17,11,12,18,20,12.64285714,5.122313465,28,,
dolk,dagger,20,14,20,20,19,9,15,20,19,5,18,15,17,11,20,18,18,17,17,20,17,18,15,17,16,20,14,20,16.75,3.637510341,28,,
geweer,rifle,20,17,20,20,20,18,20,20,20,15,19,20,20,20,20,15,20,20,12,20,20,20,20,20,20,20,20,20,19.14285714,1.994701977,28,,
granaat,grenade,20,16,20,20,20,17,20,16,20,6,19,20,9,10,15,19,20,20,20,20,18,16,19,20,20,20,20,20,17.85714286,3.738828156,28,,
kanon,canon,20,17,20,20,20,18,20,15,18,9,19,20,16,13,8,20,18,14,16,20,20,18,20,19,19,12,20,20,17.46428571,3.437076092,28,,
katapult,slingshot,5,14,20,18,17,18,7,13,14,11,13,10,11,10,5,8,20,10,10,15,18,16,8,12,5,1,3,17,11.75,5.24669208,28,,
knuppel,club,17,14,20,20,20,11,14,16,15,8,17,13,18,14,17,14,20,18,14,10,14,10,13,15,15,16,16,18,15.25,3.157882554,28,,
mitraillette,machine gun,20,17,20,20,20,18,20,20,20,19,20,20,19,19,20,19,20,-1,20,20,20,19,20,17,20,20,20,20,19.51851852,0.893152169,27,,
pistool,pistol,20,17,20,20,20,17,20,20,20,17,20,20,19,18,20,14,20,20,14,20,20,20,20,19,20,20,20,20,19.10714286,1.749905515,28,,
schild,shield,5,6,10,13,7,9,9,6,13,1,17,17,10,6,1,10,2,4,14,5,3,16,9,10,8,5,4,7,8.107142857,4.565079089,28,,
speer,spear,18,14,20,20,19,12,9,12,18,14,15,15,3,2,13,15,19,12,11,10,16,15,15,15,13,3,20,15,13.67857143,4.899384477,28,,
stok,stick,16,10,20,15,14,3,8,12,10,7,8,5,1,6,10,14,16,17,6,7,3,10,4,14,7,1,11,15,9.642857143,5.122313465,28,,
tank,tank,20,16,20,20,20,17,20,15,15,12,18,20,17,7,1,18,16,15,20,2,3,19,19,12,20,6,20,20,15.28571429,6.023762469,28,,
touw,rope,7,7,20,7,7,2,5,10,11,2,8,5,3,3,1,4,8,3,8,9,1,5,3,13,10,4,17,14,7.035714286,4.756921996,28,,
tweeloop,double barreled shotgun,20,16,20,-1,20,18,-1,20,20,13,20,20,20,5,20,15,-1,-1,10,20,14,-1,18,20,19,20,-1,20,17.63636364,4.006488244,22,,
zwaard,sword,19,15,20,20,20,16,20,16,17,17,18,17,16,13,20,17,20,17,16,15,10,20,19,18,20,20,20,20,17.71428571,2.521862082,28,,
zweep,whip,10,13,20,16,18,9,7,12,12,5,12,15,1,2,1,13,18,14,12,12,3,12,15,14,12,4,19,14,11.25,5.41346059,28,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
